;Country;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;Active Cases;Serious, Critical;Tot Cases/1M pop;Deaths/ 1M pop;Total Tests;Tests/ 1M pop;Continent
176;Sierra Leone;30.0;4.0; ;;;30.0;;4.0;;;;Africa
177;Zimbabwe;24.0;;3.0;;2.0;19.0;;2.0;0.2;2493.0;168.0;Africa
178;Antigua and Barbuda;23.0;;3.0;;3.0;17.0;1.0;235.0;31.0;73.0;745.0;North America
179;Angola;19.0;;2.0;;5.0;12.0;;0.6;0.06;;;Africa
180;Eswatini;19.0;3.0;1.0;;8.0;10.0;;16.0;0.9;714.0;615.0;Africa
181;Laos;19.0;; ;;2.0;17.0;;3.0;;1318.0;181.0;Asia
182;Belize;18.0;;2.0;;;16.0;1.0;45.0;5.0;651.0;1637.0;North America
183;New Caledonia;18.0;; ;;14.0;4.0;1.0;63.0;;3316.0;11615.0;Australia/Oceania
184;Timor-Leste;18.0;; ;;1.0;17.0;;14.0;;;;Asia
185;Malawi;17.0;;2.0;;3.0;12.0;1.0;0.9;0.1;417.0;22.0;Africa
186;Fiji;17.0;; ;;;17.0;;19.0;;;;Australia/Oceania
187;Dominica;16.0;; ;;8.0;8.0;;222.0;;345.0;4793.0;North America
188;Namibia;16.0;; ;;6.0;10.0;;6.0;;499.0;196.0;Africa
189;Botswana;15.0;;1.0;;;14.0;;6.0;0.4;3602.0;1532.0;Africa
190;Saint Lucia;15.0;; ;;11.0;4.0;;82.0;;344.0;1873.0;North America
191;Curaçao;14.0;;1.0;;11.0;2.0;;85.0;6.0;286.0;1743.0;North America
192;Grenada;14.0;; ;;6.0;8.0;4.0;124.0;;92.0;818.0;North America
193;Saint Kitts and Nevis;14.0;; ;;;14.0;;263.0;;234.0;4399.0;North America
194;CAR;12.0;; ;;4.0;8.0;;2.0;;;;Africa
195;St. Vincent Grenadines;12.0;; ;;1.0;11.0;;108.0;;87.0;784.0;North America
196;Turks and Caicos;11.0;;1.0;;;10.0;;284.0;26.0;83.0;2144.0;North America
197;Falkland Islands;11.0;; ;;3.0;8.0;;3161.0;;319.0;91667.0;South America
198;Greenland;11.0;; ;;11.0;0.0;;194.0;;1043.0;18372.0;North America
199;Montserrat;11.0;; ;;2.0;9.0;1.0;2204.0;;36.0;7212.0;North America
200;Seychelles;11.0;; ;;5.0;6.0;;112.0;;;;Africa
201;Suriname;10.0;;1.0;;6.0;3.0;;17.0;2.0;;;South America
202;NO COUNTRY;9.0;;2.0;;;7.0;;;;;;
203;Nicaragua;9.0;;2.0;1.0;6.0;1.0;;1.0;0.3;;;North America
204;Gambia;9.0;;1.0;;2.0;6.0;;4.0;0.4;316.0;131.0;Africa
205;Vatican City;8.0;; ;;2.0;6.0;;9988.0;;;;Europe
206;Mauritania;7.0;;1.0;;2.0;4.0;;2.0;0.2;857.0;184.0;Africa
207;Papua New Guinea;7.0;; ;;;7.0;;0.8;;167.0;19.0;Australia/Oceania
208;St. Barth;6.0;; ;;5.0;1.0;;607.0;;;;North America
209;Western Sahara;6.0;; ;;;6.0;;10.0;;;;Africa
210;Burundi;5.0;;1.0;;;4.0;;0.4;0.08;80.0;7.0;Africa
211;Bhutan;5.0;; ;;2.0;3.0;;6.0;;8107.0;10507.0;Asia
212;British Virgin Islands;4.0;; ;;2.0;2.0;;132.0;;;;North America
213;Sao Tome and Principe;4.0;; ;;;4.0;;18.0;;19.0;87.0;Africa
214;South Sudan;4.0;; ;;;4.0;;0.4;;;;Africa
215;Anguilla;3.0;; ;;1.0;2.0;;200.0;;;;North America
216;Caribbean Netherlands;3.0;; ;;;3.0;;114.0;;10.0;381.0;North America
217;Saint Pierre Miquelon;1.0;; ;;;1.0;;173.0;;;;North America
218;Yemen;1.0;; ;;;1.0;;0.03;;;;Asia
219;China;82719.0;27.0;4632.0;;77029.0;1058.0;85.0;57.0;3.0;;;Asia
