;Country;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;New Recovered;Active Cases;Serious, Critical;Tot Cases/1M pop;Deaths/ 1M pop;Total Tests;Tests/ 1M pop;Continent;1 Case every X people;1 Death every X people;1 Test every X ppl
154;Benin;3055.0;;44.0;;2907.0;;104.0;;249.0;4.0;345560.0;28190.0;Africa;4012.0;278595.0;35.0
155;Curaçao;3011.0;;7.0;;1328.0;;1676.0;13.0;18317.0;43.0;25045.0;152357.0;North America;55.0;23483.0;7.0
156;Guinea-Bissau;2441.0;;44.0;;2327.0;;70.0;5.0;1228.0;22.0;29037.0;14607.0;Africa;814.0;45178.0;68.0
157;Sierra Leone;2426.0;6.0;74.0;;1846.0;3.0;506.0;;302.0;9.0;;;Africa;3317.0;108734.0;
158;Yemen;2337.0;33.0;639.0;6.0;1549.0;2.0;149.0;4.0;78.0;21.0;17157.0;570.0;Asia;12882.0;47115.0;1755.0
159;Lesotho;2150.0;;44.0;;1278.0;;828.0;;1000.0;20.0;26557.0;12354.0;Africa;1000.0;48854.0;81.0
160;New Zealand;2078.0;;25.0;;1997.0;3.0;56.0;;415.0;5.0;1309992.0;261888.0;Australia/Oceania;2407.0;200084.0;4.0
161;Niger;1856.0;67.0;77.0;;1237.0;;542.0;9.0;76.0;3.0;47907.0;1949.0;Africa;13241.0;319160.0;513.0
162;San Marino;1789.0;;48.0;;1412.0;;329.0;8.0;52677.0;1413.0;19028.0;560273.0;Europe;19.0;708.0;2.0
163;Chad;1725.0;3.0;102.0;;1564.0;3.0;59.0;;104.0;6.0;;;Africa;9638.0;162997.0;
164;Liberia;1676.0;;83.0;;1358.0;;235.0;2.0;328.0;16.0;35957.0;7039.0;Africa;3048.0;61546.0;142.0
165;Channel Islands;1645.0;96.0;48.0;;1088.0;76.0;509.0;10.0;9424.0;275.0;199491.0;1142855.0;Europe;106.0;3637.0;1.0
166;Liechtenstein;1396.0;18.0;17.0;;1183.0;;196.0;16.0;36567.0;445.0;15235.0;399073.0;Europe;27.0;2246.0;3.0
167;Vietnam;1366.0;1.0;35.0;;1220.0;;111.0;;14.0;0.4;1339465.0;13708.0;Asia;71535.0;2791917.0;73.0
168;Sint Maarten;1139.0;19.0;26.0;;1017.0;10.0;96.0;6.0;26436.0;603.0;7893.0;183192.0;North America;38.0;1657.0;5.0
169;Gibraltar;1053.0;5.0;5.0;;990.0;10.0;58.0;1.0;31258.0;148.0;96075.0;2851990.0;Europe;32.0;6737.0;0.0
170;Sao Tome and Principe;999.0;;17.0;;937.0;;45.0;;4522.0;77.0;7498.0;33943.0;Africa;221.0;12994.0;29.0
171;Mongolia;849.0;7.0; ;;384.0;16.0;465.0;2.0;257.0;;270528.0;81954.0;Asia;3888.0;;12.0
172;Turks and Caicos;756.0;;6.0;;740.0;;10.0;1.0;19413.0;154.0;9247.0;237456.0;North America;52.0;6490.0;4.0
173;Saint Martin;717.0;;12.0;;641.0;;64.0;7.0;18409.0;308.0;7149.0;183548.0;North America;54.0;3246.0;5.0
174;Taiwan;716.0;23.0;7.0;;574.0;;135.0;;30.0;0.3;112558.0;4722.0;Asia;33290.0;3405075.0;212.0
175;NO COUNTRY;712.0;;13.0;;699.0;;0.0;;;;;;;;;
176;Burundi;694.0;;1.0;;575.0;;118.0;;58.0;0.08;62215.0;5167.0;Africa;17350.0;12040775.0;194.0
177;Papua New Guinea;671.0;;7.0;;597.0;;67.0;;74.0;0.8;32221.0;3572.0;Australia/Oceania;13442.0;1288513.0;280.0
178;Monaco;638.0;1.0;3.0;;574.0;2.0;61.0;4.0;16209.0;76.0;51953.0;1319877.0;Europe;62.0;13121.0;1.0
179;Eritrea;632.0;; ;;508.0;;124.0;;177.0;;21655.0;6070.0;Africa;5645.0;;165.0
180;Comoros;616.0;;7.0;;600.0;;9.0;;702.0;8.0;;;Africa;1425.0;125359.0;
181;Faeroe Islands;510.0;4.0; ;;501.0;1.0;9.0;;10420.0;;171175.0;3497364.0;Europe;96.0;;0.0
182;Tanzania;509.0;;21.0;;183.0;;305.0;7.0;8.0;0.3;;;Africa;118774.0;2878847.0;
183;Mauritius;508.0;;10.0;;465.0;;33.0;;399.0;8.0;289552.0;227513.0;Africa;2505.0;127269.0;4.0
184;Bhutan;426.0;2.0; ;;387.0;;39.0;;549.0;;208728.0;269232.0;Asia;1820.0;;4.0
185;Isle of Man;370.0;;25.0;;344.0;;1.0;;4341.0;293.0;18834.0;220984.0;Europe;230.0;3409.0;5.0
186;Cambodia;346.0;1.0; ;;306.0;1.0;40.0;;21.0;;240491.0;14299.0;Asia;48608.0;;70.0
187;Bermuda;288.0;;9.0;;216.0;;63.0;1.0;4632.0;145.0;111870.0;1799218.0;North America;216.0;6909.0;1.0
188;Cayman Islands;288.0;;2.0;;257.0;;29.0;1.0;4360.0;30.0;53727.0;813368.0;North America;229.0;33028.0;1.0
189;Barbados;285.0;;7.0;;260.0;;18.0;1.0;991.0;24.0;49307.0;171486.0;North America;1009.0;41075.0;6.0
190;Saint Lucia;265.0;;2.0;;158.0;;105.0;;1440.0;11.0;16641.0;90445.0;North America;694.0;91996.0;11.0
191;Seychelles;184.0;; ;;168.0;;16.0;;1866.0;;5200.0;52732.0;Africa;536.0;;19.0
192;Caribbean Netherlands;164.0;;3.0;;158.0;;3.0;;6229.0;114.0;3681.0;139813.0;North America;161.0;8776.0;7.0
193;Brunei ;151.0;;3.0;;147.0;1.0;1.0;;344.0;7.0;77829.0;177170.0;Asia;2909.0;146430.0;6.0
194;St. Barth;147.0;;1.0;;105.0;;41.0;;14863.0;101.0;4767.0;482002.0;North America;67.0;9890.0;2.0
195;Antigua and Barbuda;144.0;;4.0;;133.0;;7.0;1.0;1465.0;41.0;4756.0;48392.0;North America;683.0;24570.0;21.0
196;St. Vincent Grenadines;87.0;; ;;80.0;;7.0;;783.0;;10423.0;93822.0;North America;1277.0;;11.0
197;Dominica;85.0;; ;;72.0;;13.0;;1180.0;;5655.0;78472.0;North America;848.0;;13.0
198;British Virgin Islands;72.0;;1.0;;71.0;;0.0;;2375.0;33.0;6431.0;212118.0;North America;421.0;30318.0;5.0
199;Macao;46.0;; ;;46.0;;0.0;;70.0;;4238.0;6489.0;Asia;14199.0;;154.0
200;Fiji;44.0;;2.0;;33.0;;9.0;;49.0;2.0;16703.0;18574.0;Australia/Oceania;20438.0;449629.0;54.0
201;Grenada;41.0;; ;;39.0;;2.0;;364.0;;6252.0;55451.0;North America;2750.0;;18.0
202;Laos;39.0;; ;;26.0;;13.0;;5.0;;80962.0;11059.0;Asia;187717.0;;90.0
203;New Caledonia;35.0;; ;;32.0;;3.0;;122.0;;17928.0;62536.0;Australia/Oceania;8191.0;;16.0
204;Timor-Leste;31.0;; ;;30.0;;1.0;;23.0;;14932.0;11234.0;Asia;42877.0;;89.0
205;Vatican City;27.0;; ;;15.0;;12.0;;33666.0;;;;Europe;30.0;;
206;Saint Kitts and Nevis;25.0;; ;;20.0;;5.0;;468.0;;4313.0;80825.0;North America;2134.0;;12.0
207;Greenland;18.0;; ;;18.0;;0.0;;317.0;;13021.0;229191.0;North America;3156.0;;4.0
208;Falkland Islands;17.0;; ;;15.0;;2.0;;4825.0;;4454.0;1264263.0;South America;207.0;;1.0
209;Solomon Islands;17.0;; ;;5.0;;12.0;;24.0;;4500.0;6484.0;Australia/Oceania;40827.0;;154.0
210;Saint Pierre Miquelon;16.0;; ;;14.0;;2.0;;2767.0;;2882.0;498443.0;North America;361.0;;2.0
211;Montserrat;13.0;;1.0;;12.0;;0.0;;2604.0;200.0;577.0;115562.0;North America;384.0;4993.0;9.0
212;Western Sahara;10.0;;1.0;;8.0;;1.0;;17.0;2.0;;;Africa;60359.0;603592.0;
213;NO COUNTRY;9.0;;2.0;;7.0;;0.0;;;;;;;;;
214;Anguilla;7.0;; ;;3.0;;4.0;;465.0;;2651.0;176018.0;North America;2152.0;;6.0
215;Marshall Islands;4.0;; ;;4.0;;0.0;;67.0;;;;Australia/Oceania;14841.0;;
216;Wallis and Futuna;3.0;; ;;1.0;;2.0;;269.0;;1149.0;103031.0;Australia/Oceania;3717.0;;10.0
217;Samoa;2.0;; ;;2.0;;0.0;;10.0;;;;Australia/Oceania;99493.0;;
218;Vanuatu;1.0;; ;;1.0;;0.0;;3.0;;;;Australia/Oceania;310205.0;;
219;China;86619.0;18.0;4634.0;;81706.0;12.0;279.0;6.0;60.0;3.0;160000000.0;111163.0;Asia;16617.0;310601.0;9.0
